Numero do alimento,Descrição do alimento,Umidade (%),Energia (Kcal),Proteina (g),Carboidrato (g),Categoria do alimento
273,"Abadejo, file, congelado, assado",74.3,112,23.5,0.0,Pescados e frutos do mar
277,"Atum, conserva em oleo",64.5,166,26.2,0.0,Pescados e frutos do mar
279,"Bacalhau, salgado, cru",47.9,136,29.0,0.0,Pescados e frutos do mar
281,"Caçao, posta, com farinha de trigo, frita",60.6,208,25.0,3.1,Pescados e frutos do mar
284,"Camarao, Rio Grande, grande, cozido",78.7,90,19.0,0.0,Pescados e frutos do mar
287,"Caranguejo, cozido",77.0,83,18.5,0.0,Pescados e frutos do mar
288,"Corimba, cru",75.6,128,17.4,0.0,Pescados e frutos do mar
291,"Corvina de agua doce, crua",79.2,101,18.9,0.0,Pescados e frutos do mar
295,Dourada de agua doce fresca,76.2,131,18.8,0.0,Pescados e frutos do mar
298,"Lambari, fresco, cru",72.2,152,15.7,0.0,Pescados e frutos do mar
323,Apresuntado,73.7,129,13.5,2.9,Carnes e derivados
325,"Caldo de galinha, tablete",3.4,251,6.3,10.6,Carnes e derivados
328,"Carne, bovina, acem, sem gordura, cozido",60.4,215,27.3,0.0,Carnes e derivados
340,"Carne, bovina, contra-file, a milanesa",42.2,352,20.6,12.2,Carnes e derivados
389,"Empada de frango, pre-cozida, assada",28.2,358,6.9,47.5,Carnes e derivados
391,"Frango, asa, com pele, crua",67.5,213,18.1,0.0,Carnes e derivados
394,"Frango, coraçao, cru",69.1,222,12.6,0.0,Carnes e derivados
415,"Hamburguer, bovina, cru",63.6,215,13.2,4.2,Carnes e derivados
421,"Linguiça, porco, crua",62.5,227,16.1,0.0,Carnes e derivados
433,"Porco, lombo, cru",67.7,176,22.6,0.0,Carnes e derivados
446,"Bebida lactea, pessego",87.7,55,2.1,7.6,Leite e derivados
447,Creme de Leite,70.9,221,1.5,4.5,Leite e derivados
451,"Iogurte, sabor morango",74.6,70,2.7,9.7,Leite e derivados
461,"Queijo, minas, frescal",56.1,264,17.4,3.2,Leite e derivados
466,"Queijo, petit suisse, morango",72.2,121,5.8,18.5,Leite e derivados
469,"Queijo, ricota",73.6,140,12.6,3.8,Leite e derivados
455,"Leite de vaca, achocolatado",80.9,83,2.1,14.2,Leite e derivados
465,"Queijo, pasteurizado",54.4,303,9.4,5.7,Leite e derivados
454,"Leite, de cabra",87.1,66,3.1,5.2,Leite e derivados
460,"Leite, fermentado",81.9,70,1.9,15.7,Leite e derivados
470,"Bebida istonica, sabores variados",93.5,26,0.0,6.4,Bebidas (alcoolicas e não alcoolicas)
471,"Café, infusao 100%",97.4,9,0.7,1.5,Bebidas (alcoolicas e não alcoolicas)
473,"Cana, caldo de ",81.7,65,Tr,18.2,Bebidas (alcoolicas e não alcoolicas)
474,"Cerveja, pilsen",92.4,41,0.6,3.3,Bebidas (alcoolicas e não alcoolicas)
476,"Cha, mate, infusao 5%",99.3,3,0.0,0.6,Bebidas (alcoolicas e não alcoolicas)
478,"Coco, agua de ",94.3,22,0.0,5.3,Bebidas (alcoolicas e não alcoolicas)
480,"Refrigerante, tipo cola",91.3,34,0.0,8.7,Bebidas (alcoolicas e não alcoolicas)
481,"Refrigerante, tipo guarana",90.0,39,0.0,10.0,Bebidas (alcoolicas e não alcoolicas)
482,"Refrigerante, tipo laranja",88.2,46,0.0,11.8,Bebidas (alcoolicas e não alcoolicas)
483,"Refrigerante, tipo limao",89.7,40,0.0,10.3,Bebidas (alcoolicas e não alcoolicas)
493,"Açucar, mascavo",3.3,369,0.8,94.5,Produtos açucarados
496,"Chocolate, ao leite, com castanha do Para",1.2,559,7.4,55.4,Produtos açucarados
499,Cocada branca,3.4,449,1.1,81.4,Produtos açucarados
502,"Geleia, mocoto, natural",73.5,106,2.1,24.2,Produtos açucarados
506,Marmelada,28.5,257,0.4,70.8,Produtos açucarados
508,Melado,22.1,297,0.0,76.6,Produtos açucarados
510,Rapadura,7.1,352,1.0,90.8,Produtos açucarados
500,"Doce, de abobora, cremoso",43.9,199,0.9,54.6,Produtos açucarados
501,"Doce, de leite, cremoso",27.5,1282,5.5,59.5,Produtos açucarados
507,Mel de abelha,15.8,309,0.0,84.0,Produtos açucarados
525,Acaraje,50.5,289,8.3,7.9,Alimentos preparados
527,"Bailao de dois, arroz e feijao-de-corda",69.1,136,6.2,20.4,Alimentos preparados
530,Bolinho de arroz ,41.5,274,8.0,41.7,Alimentos preparados
532,"Charuto, de repolho",81.5,78,6.8,10.1,Alimentos preparados
534,"Cuscuz, paulista",68.9,142,2.6,22.5,Alimentos preparados
536,Dobradinha,75.3,125,19.8,0.0,Alimentos preparados
538,Estrogonofe de frango,70.9,157,17.6,2.6,Alimentos preparados
542,"Macarrao, molho bolognesa",71.4,120,4.9,22.5,Alimentos preparados
545,"Salada, de legumes, com maionese",82.0,96,1.1,8.9,Alimentos preparados
549,Tabule ,85.8,57,2.0,10.6,Alimentos preparados
